epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12666,0.48957,0.39421,0.94695,0.94206,0.92221,0.95338,0.87406,0.4459,0.79592,0.61351,0.000359409,0.000359409,0.000359409
43,13024.9,0.48028,0.375,0.94305,0.94375,0.92207,0.96766,0.89747,0.41178,0.76024,0.61031,0.000341077,0.000341077,0.000341077
44,13351.7,0.47199,0.36649,0.95073,0.93043,0.93553,0.96962,0.90531,0.40285,0.70347,0.60042,0.000322745,0.000322745,0.000322745
45,13706.5,0.48482,0.39178,0.95511,0.94461,0.92908,0.97082,0.90258,0.42703,0.72946,0.60903,0.000304414,0.000304414,0.000304414
46,14048.2,0.45098,0.3686,0.95017,0.95171,0.91758,0.96731,0.89509,0.40781,0.75533,0.59757,0.000286083,0.000286083,0.000286083
47,14399.1,0.44314,0.36677,0.93515,0.95467,0.93084,0.96531,0.8946,0.40189,0.69334,0.59912,0.000267751,0.000267751,0.000267751
48,14761.4,0.44506,0.34103,0.93994,0.89189,0.93224,0.95912,0.89303,0.41416,0.73493,0.60601,0.00024942,0.00024942,0.00024942
49,15093.1,0.45264,0.35928,0.94404,0.92435,0.92672,0.96827,0.89777,0.41272,0.70548,0.60671,0.000231088,0.000231088,0.000231088
50,15429.6,0.43691,0.34717,0.93626,0.93855,0.92743,0.97065,0.90726,0.39551,0.6969,0.59784,0.000212757,0.000212757,0.000212757
51,15783.7,0.31975,0.2571,0.82954,0.92651,0.91654,0.97201,0.90742,0.39904,0.7034,0.59618,0.000194425,0.000194425,0.000194425
52,16140.6,0.31747,0.25048,0.82019,0.91575,0.92823,0.97465,0.91048,0.39842,0.65748,0.59706,0.000176094,0.000176094,0.000176094
53,16509.6,0.30868,0.24879,0.82163,0.93597,0.94783,0.96867,0.89985,0.40711,0.71041,0.59847,0.000157762,0.000157762,0.000157762
54,16875.9,0.30861,0.24449,0.83253,0.91971,0.92742,0.9621,0.89873,0.38824,0.70606,0.59644,0.000139431,0.000139431,0.000139431
55,17224,0.30177,0.23066,0.81565,0.93127,0.94851,0.9658,0.89837,0.39384,0.68244,0.59644,0.000121099,0.000121099,0.000121099
56,17580.3,0.29559,0.23272,0.81533,0.93061,0.9432,0.96858,0.91334,0.38195,0.67597,0.59224,0.000102768,0.000102768,0.000102768
57,250.255,0.29259,0.23961,0.80834,0.93587,0.94216,0.95655,0.89319,0.39864,0.68287,0.59811,8.4436e-05,8.4436e-05,8.4436e-05
58,504.004,0.28463,0.23007,0.81706,0.92956,0.94236,0.96908,0.90885,0.38625,0.6908,0.59366,6.61045e-05,6.61045e-05,6.61045e-05
59,771.448,0.28602,0.2341,0.81806,0.92944,0.94745,0.9707,0.90463,0.39159,0.69696,0.59639,4.7773e-05,4.7773e-05,4.7773e-05
60,1047.54,0.27865,0.21886,0.81542,0.92908,0.94936,0.96447,0.90405,0.38758,0.67559,0.59725,2.94415e-05,2.94415e-05,2.94415e-05
